timestamp,latitude,longitude,elevation
2019-04-06T18:32:05Z,38.2377525,-85.7527342,106.975
2019-04-06T18:32:11Z,38.2389896,-85.7530601,99.625
2019-04-06T18:32:17Z,38.2402112,-85.7529969,101.925
2019-04-06T18:32:22Z,38.2411118,-85.7528513,102.845
2019-04-06T18:32:28Z,38.242041,-85.7526885,101.123
2019-04-06T18:32:33Z,38.2428981,-85.7525316,98.828
2019-04-06T18:32:38Z,38.2437793,-85.7523972,97.544
2019-04-06T18:32:43Z,38.244768,-85.752283,98.287
2019-04-06T18:32:49Z,38.2459422,-85.7521069,96.185
2019-04-06T18:32:54Z,38.2469711,-85.7520366,95.019
2019-04-06T18:33:00Z,38.2481941,-85.7520377,96.301
2019-04-06T18:33:06Z,38.2493315,-85.7519447,95.432
2019-04-06T18:33:12Z,38.2502971,-85.7512485,99.03
2019-04-06T18:33:18Z,38.2509506,-85.7500018,98.026
2019-04-06T18:33:23Z,38.2513709,-85.7487991,100.734
2019-04-06T18:33:29Z,38.2518511,-85.7474012,99.919
2019-04-06T18:33:35Z,38.252374,-85.7459831,97.451
2019-04-06T18:33:41Z,38.2528709,-85.7445096,101.108
2019-04-06T18:33:46Z,38.2535426,-85.7434536,95.936
2019-04-06T18:33:52Z,38.254642,-85.7424809,94.791
2019-04-06T18:33:57Z,38.2557424,-85.7420168,96.503
2019-04-06T18:34:03Z,38.2568963,-85.741554,98.352
2019-04-06T18:34:09Z,38.2580202,-85.7411122,98.456
2019-04-06T18:34:14Z,38.258971,-85.7407695,98.869
2019-04-06T18:34:20Z,38.2601864,-85.7406103,100.962
2019-04-06T18:34:26Z,38.2614258,-85.7409758,102.767
2019-04-06T18:34:32Z,38.2627676,-85.7417151,104.599
2019-04-06T18:34:37Z,38.2639018,-85.7423776,107.934
2019-04-06T18:34:42Z,38.2650213,-85.7430545,110.779
2019-04-06T18:34:48Z,38.2664266,-85.7438598,116.853
2019-04-06T18:34:54Z,38.2678091,-85.7446565,119.232
2019-04-06T18:35:00Z,38.2691322,-85.7454211,121.747
2019-04-06T18:35:06Z,38.2704865,-85.7461905,125.667
2019-04-06T18:35:11Z,38.271661,-85.7468531,127.626
2019-04-06T18:35:17Z,38.2730203,-85.7476467,122.012
2019-04-06T18:35:22Z,38.2741783,-85.7482933,124.189
2019-04-06T18:35:28Z,38.2755775,-85.748944,122.815
2019-04-06T18:35:33Z,38.2767553,-85.7492101,122.29
2019-04-06T18:35:39Z,38.2782129,-85.7494749,117.382
2019-04-06T18:35:45Z,38.2795912,-85.7498398,112.175
2019-04-06T18:35:50Z,38.2806979,-85.7504956,109.895
2019-04-06T18:35:56Z,38.2818338,-85.7516234,100.179
2019-04-06T18:36:02Z,38.2828887,-85.7528655,98.576
2019-04-06T18:36:07Z,38.2837691,-85.7538826,102.155
2019-04-06T18:36:12Z,38.284737,-85.7546661,106.454
2019-04-06T18:36:18Z,38.2859611,-85.755361,104.559
2019-04-06T18:36:24Z,38.2872971,-85.7560298,105.527
2019-04-06T18:36:29Z,38.2884565,-85.7566026,104.769
2019-04-06T18:36:35Z,38.2899221,-85.7572842,102.464
2019-04-06T18:36:40Z,38.2911603,-85.7576439,101.495
2019-04-06T18:36:46Z,38.2926422,-85.7576513,98.694
2019-04-06T18:36:51Z,38.293892,-85.7572875,97.424
2019-04-06T18:36:57Z,38.2952996,-85.7564329,96.59
2019-04-06T18:37:02Z,38.296394,-85.7554568,99.604
2019-04-06T18:37:08Z,38.2977621,-85.7543451,98.644
2019-04-06T18:37:13Z,38.2989506,-85.753573,97.699
2019-04-06T18:37:19Z,38.3004973,-85.7529291,97.44
2019-04-06T18:37:25Z,38.3020888,-85.7525725,95.702
2019-04-06T18:37:30Z,38.3034252,-85.7524367,90.754
2019-04-06T18:37:36Z,38.3049554,-85.7523482,90.054
2019-04-06T18:37:41Z,38.3063107,-85.7522602,91.325
2019-04-06T18:37:47Z,38.3079747,-85.7521985,89.69
2019-04-06T18:37:53Z,38.309714,-85.7521449,87.371
2019-04-06T18:37:58Z,38.3111927,-85.7521166,88.488
2019-04-06T18:38:04Z,38.3129731,-85.7520855,90.034
2019-04-06T18:38:09Z,38.3144105,-85.7521521,92.081
2019-04-06T18:38:14Z,38.3158699,-85.7522864,95.529
2019-04-06T18:38:20Z,38.3176136,-85.7526028,100.022
2019-04-06T18:38:26Z,38.3193314,-85.7529461,100.205
2019-04-06T18:38:32Z,38.3210502,-85.7532911,102.381
2019-04-06T18:38:37Z,38.3224851,-85.7535077,103.438
2019-04-06T18:38:43Z,38.324217,-85.7537443,104.422
2019-04-06T18:38:49Z,38.3259373,-85.7539427,104.786
2019-04-06T18:38:55Z,38.3276808,-85.7540684,104.442
2019-04-06T18:39:00Z,38.3291832,-85.7540798,105.112
2019-04-06T18:39:06Z,38.3310016,-85.7539551,105.369
2019-04-06T18:39:11Z,38.3324071,-85.7537923,96.308
2019-04-06T18:39:17Z,38.3340172,-85.7536735,96.167
2019-04-06T18:39:22Z,38.3353708,-85.7535828,94.521
2019-04-06T18:39:28Z,38.3370132,-85.7535952,96.301
2019-04-06T18:39:34Z,38.3386217,-85.7536979,95.213
2019-04-06T18:39:39Z,38.340011,-85.7537852,97.342
2019-04-06T18:39:45Z,38.3417191,-85.7538611,97.238
2019-04-06T18:39:51Z,38.3434556,-85.7539358,97.04
2019-04-06T18:39:57Z,38.345185,-85.7539982,95.231
2019-04-06T18:40:02Z,38.3465862,-85.7540459,96.094
2019-04-06T18:40:08Z,38.3482684,-85.7541171,95.914
2019-04-06T18:40:14Z,38.3499323,-85.7541778,90.069
2019-04-06T18:40:19Z,38.3513456,-85.7542606,88.799
2019-04-06T18:40:25Z,38.3530688,-85.7543645,91.236
2019-04-06T18:40:31Z,38.3547709,-85.7544564,90.326
2019-04-06T18:40:37Z,38.3564839,-85.7545311,94.714
